,batsman,batsman_runs,dismissal_yn,ball,strike_rate,batting_average
0,A Ashish Reddy,280,15.0,196,142.85714285714286,18.666666666666668
1,A Chandila,4,0.0,7,57.14285714285714,4.0
2,A Chopra,53,5.0,75,70.66666666666667,10.6
3,A Choudhary,25,1.0,20,125.0,25.0
4,A Flintoff,62,2.0,57,108.77192982456141,31.0
5,A Kumble,35,2.0,49,71.42857142857143,17.5
6,A Mishra,340,25.0,382,89.00523560209425,13.6
7,A Mithun,34,5.0,26,130.76923076923077,6.8
8,A Mukund,19,2.0,23,82.6086956521739,9.5
9,A Nehra,41,6.0,63,65.07936507936508,6.833333333333333
10,A Singh,2,4.0,10,20.0,0.5
11,A Symonds,974,24.0,781,124.71190781049937,40.583333333333336
12,A Uniyal,4,1.0,7,57.14285714285714,4.0
13,A Zampa,5,2.0,8,62.5,2.5
14,AA Bilakhia,69,5.0,88,78.4090909090909,13.8
15,AA Chavan,12,1.0,11,109.09090909090908,12.0
16,AA Jhunjhunwala,217,12.0,218,99.54128440366972,18.083333333333332
17,AA Noffke,9,1.0,12,75.0,9.0
18,AB Agarkar,179,8.0,160,111.87499999999999,22.375
19,AB Barath,42,2.0,43,97.67441860465115,21.0
20,AB Dinda,26,9.0,50,52.0,2.888888888888889
21,AB McDonald,123,5.0,103,119.41747572815532,24.6
22,AB de Villiers,3486,83.0,2402,145.12905911740216,42.0
23,AC Blizzard,120,7.0,91,131.86813186813185,17.142857142857142
24,AC Gilchrist,2069,75.0,1555,133.05466237942122,27.586666666666666
25,AC Thomas,20,2.0,19,105.26315789473684,10.0
26,AC Voges,181,4.0,143,126.57342657342659,45.25
27,AD Mascarenhas,79,9.0,79,100.0,8.777777777777779
28,AD Mathews,724,28.0,599,120.86811352253757,25.857142857142858
29,AD Nath,20,4.0,28,71.42857142857143,5.0
30,AD Russell,574,20.0,350,164.0,28.7
31,AF Milne,7,2.0,12,58.333333333333336,3.5
32,AG Murtaza,10,1.0,14,71.42857142857143,10.0
33,AG Paunikar,49,5.0,61,80.32786885245902,9.8
34,AJ Finch,1604,57.0,1270,126.2992125984252,28.140350877192983
35,AJ Tye,53,1.0,30,176.66666666666666,53.0
36,AL Menaria,401,21.0,367,109.26430517711172,19.095238095238095
37,AM Nayar,672,36.0,588,114.28571428571428,18.666666666666668
38,AM Rahane,3057,86.0,2602,117.48654880860876,35.54651162790697
39,AN Ahmed,36,1.0,27,133.33333333333331,36.0
40,AN Ghosh,7,2.0,8,87.5,3.5
41,AP Dole,34,2.0,23,147.82608695652172,17.0
42,AP Majumdar,87,4.0,77,112.98701298701299,21.75
43,AP Tare,339,24.0,285,118.94736842105263,14.125
44,AR Bawne,12,0.0,12,100.0,12.0
45,AR Patel,606,28.0,494,122.67206477732793,21.642857142857142
46,AS Rajpoot,6,1.0,13,46.15384615384615,6.0
47,AS Raut,194,9.0,172,112.79069767441861,21.555555555555557
48,AS Yadav,49,5.0,40,122.50000000000001,9.8
49,AT Rayudu,2416,85.0,1964,123.0142566191446,28.423529411764704
50,AUK Pathan,39,5.0,26,150.0,7.8
51,Abdur Razzak,0,0.0,2,0.0,0.0
52,Anirudh Singh,63,4.0,69,91.30434782608695,15.75
53,Ankit Sharma,87,7.0,69,126.08695652173914,12.428571428571429
54,Ankit Soni,7,2.0,9,77.77777777777779,3.5
55,Anureet Singh,33,4.0,43,76.74418604651163,8.25
56,Azhar Mahmood,388,19.0,311,124.7588424437299,20.42105263157895
57,B Akhil,76,5.0,57,133.33333333333331,15.2
58,B Chipli,280,15.0,256,109.375,18.666666666666668
59,B Kumar,158,18.0,160,98.75,8.777777777777779
60,B Laughlin,4,1.0,9,44.44444444444444,4.0
61,B Lee,124,9.0,102,121.56862745098039,13.777777777777779
62,B Sumanth,35,1.0,38,92.10526315789474,35.0
63,BA Bhatt,6,0.0,7,85.71428571428571,6.0
64,BA Stokes,316,10.0,227,139.20704845814979,31.6
65,BAW Mendis,3,2.0,6,50.0,1.5
66,BB McCullum,2755,96.0,2181,126.31820265933058,28.697916666666668
67,BB Samantray,125,5.0,116,107.75862068965519,25.0
68,BB Sran,4,0.0,4,100.0,4.0
69,BCJ Cutting,124,4.0,70,177.14285714285714,31.0
70,BE Hendricks,1,1.0,3,33.33333333333333,1.0
71,BJ Haddin,18,1.0,11,163.63636363636365,18.0
72,BJ Hodge,1400,41.0,1153,121.42237640936686,34.146341463414636
73,BJ Rohrer,193,7.0,146,132.1917808219178,27.571428571428573
74,BMAJ Mendis,23,3.0,27,85.18518518518519,7.666666666666667
75,BR Dunk,40,3.0,36,111.11111111111111,13.333333333333334
76,Basil Thampi,28,0.0,30,93.33333333333333,28.0
77,Bipul Sharma,187,6.0,124,150.80645161290323,31.166666666666668
78,C Madan,15,1.0,21,71.42857142857143,15.0
79,C Munro,30,1.0,31,96.7741935483871,30.0
80,C Nanda,0,1.0,1,0.0,0.0
81,C de Grandhomme,126,8.0,92,136.95652173913044,15.75
82,CA Ingram,21,2.0,26,80.76923076923077,10.5
83,CA Lynn,384,10.0,260,147.6923076923077,38.4
84,CA Pujara,390,18.0,403,96.7741935483871,21.666666666666668
85,CH Gayle,3651,89.0,2532,144.19431279620852,41.02247191011236
86,CH Morris,439,12.0,275,159.63636363636365,36.583333333333336
87,CJ Anderson,521,19.0,414,125.84541062801932,27.42105263157895
88,CJ Ferguson,98,6.0,119,82.35294117647058,16.333333333333332
89,CJ Jordan,3,1.0,5,60.0,3.0
90,CJ McKay,8,1.0,15,53.333333333333336,8.0
91,CK Kapugedera,16,3.0,24,66.66666666666666,5.333333333333333
92,CK Langeveldt,8,2.0,9,88.88888888888889,4.0
93,CL White,971,34.0,774,125.45219638242895,28.558823529411764
94,CM Gautam,169,9.0,158,106.9620253164557,18.77777777777778
95,CR Brathwaite,95,8.0,56,169.64285714285714,11.875
96,CR Woakes,46,3.0,47,97.87234042553192,15.333333333333334
97,CRD Fernando,4,0.0,3,133.33333333333331,4.0
98,D Kalyankrishna,3,1.0,8,37.5,3.0
99,D Salunkhe,33,1.0,24,137.5,33.0
100,D Wiese,127,4.0,94,135.1063829787234,31.75
101,D du Preez,10,1.0,13,76.92307692307693,10.0
102,DA Miller,1563,43.0,1135,137.7092511013216,36.348837209302324
103,DA Warner,4014,98.0,2902,138.3184011026878,40.95918367346939
104,DAJ Bracewell,12,0.0,9,133.33333333333331,12.0
105,DB Das,304,12.0,267,113.85767790262172,25.333333333333332
106,DB Ravi Teja,375,19.0,325,115.38461538461537,19.736842105263158
107,DE Bollinger,21,1.0,23,91.30434782608695,21.0
108,DH Yagnik,170,9.0,142,119.71830985915493,18.88888888888889
109,DJ Bravo,1262,54.0,1032,122.28682170542635,23.37037037037037
110,DJ Harris,111,3.0,103,107.76699029126213,37.0
111,DJ Hooda,373,23.0,277,134.65703971119135,16.217391304347824
112,DJ Hussey,1322,46.0,1101,120.07266121707538,28.73913043478261
113,DJ Jacobs,92,7.0,101,91.0891089108911,13.142857142857142
114,DJ Muthuswami,1,1.0,3,33.33333333333333,1.0
115,DJ Thornely,39,3.0,54,72.22222222222221,13.0
116,DJG Sammy,295,15.0,251,117.52988047808766,19.666666666666668
117,DL Chahar,14,1.0,6,233.33333333333334,14.0
118,DL Vettori,121,7.0,118,102.54237288135593,17.285714285714285
119,DM Bravo,6,0.0,5,120.0,6.0
120,DNT Zoysa,11,1.0,9,122.22222222222223,11.0
121,DP Nannes,4,1.0,13,30.76923076923077,4.0
122,DP Vijaykumar,1,0.0,1,100.0,1.0
123,DPMD Jayawardene,1808,59.0,1522,118.7910643889619,30.64406779661017
124,DR Martyn,19,1.0,26,73.07692307692307,19.0
125,DR Smith,2385,80.0,1803,132.27953410981698,29.8125
126,DS Kulkarni,90,8.0,101,89.10891089108911,11.25
127,DS Lehmann,18,2.0,19,94.73684210526315,9.0
128,DT Christian,420,22.0,351,119.65811965811966,19.09090909090909
129,DT Patil,13,1.0,13,100.0,13.0
130,DW Steyn,166,20.0,161,103.1055900621118,8.3
131,EJG Morgan,854,38.0,725,117.79310344827587,22.473684210526315
132,ER Dwivedi,24,2.0,15,160.0,12.0
133,F Behardien,14,2.0,13,107.6923076923077,7.0
134,F du Plessis,1295,37.0,1043,124.16107382550337,35.0
135,FH Edwards,4,1.0,5,80.0,4.0
136,FY Fazal,183,9.0,179,102.23463687150837,20.333333333333332
137,G Gambhir,4132,124.0,3433,120.36120011651616,33.32258064516129
138,GB Hogg,22,2.0,22,100.0,11.0
139,GC Smith,739,26.0,691,106.9464544138929,28.423076923076923
140,GD McGrath,4,1.0,5,80.0,4.0
141,GH Vihari,280,17.0,323,86.687306501548,16.470588235294116
142,GJ Bailey,663,26.0,552,120.1086956521739,25.5
143,GJ Maxwell,1229,49.0,780,157.56410256410257,25.081632653061224
144,GR Napier,15,1.0,16,93.75,15.0
145,Gurkeerat Singh,342,21.0,280,122.14285714285715,16.285714285714285
146,H Das,2,1.0,5,40.0,2.0
147,HH Gibbs,886,31.0,837,105.8542413381123,28.580645161290324
148,HH Pandya,406,19.0,306,132.6797385620915,21.36842105263158
149,HM Amla,577,13.0,418,138.03827751196172,44.38461538461539
150,HV Patel,47,8.0,38,123.6842105263158,5.875
151,Harbhajan Singh,799,48.0,591,135.19458544839256,16.645833333333332
152,Harmeet Singh,18,2.0,12,150.0,9.0
153,Harpreet Singh,20,2.0,26,76.92307692307693,10.0
154,I Malhotra,7,0.0,4,175.0,7.0
155,I Sharma,45,6.0,59,76.27118644067797,7.5
156,IC Pandey,0,1.0,2,0.0,0.0
157,IK Pathan,1150,49.0,985,116.75126903553299,23.46938775510204
158,IR Jaggi,76,5.0,100,76.0,15.2
159,Imran Tahir,18,4.0,25,72.0,4.5
160,Iqbal Abdulla,88,1.0,86,102.32558139534885,88.0
161,Ishan Kishan,319,14.0,255,125.09803921568627,22.785714285714285
162,J Arunkumar,23,3.0,24,95.83333333333334,7.666666666666667
163,J Botha,409,20.0,364,112.36263736263736,20.45
164,J Suchith,48,1.0,33,145.45454545454547,48.0
165,J Syed Mohammad,29,2.0,27,107.40740740740742,14.5
166,J Theron,10,2.0,13,76.92307692307693,5.0
167,J Yadav,6,0.0,12,50.0,6.0
168,JA Morkel,975,38.0,712,136.93820224719101,25.657894736842106
169,JC Buttler,528,20.0,375,140.79999999999998,26.4
170,JD Ryder,604,27.0,466,129.6137339055794,22.37037037037037
171,JD Unadkat,5,1.0,13,38.46153846153847,5.0
172,JDP Oram,106,8.0,110,96.36363636363636,13.25
173,JDS Neesham,42,3.0,46,91.30434782608695,14.0
174,JE Taylor,3,0.0,4,75.0,3.0
175,JEC Franklin,327,11.0,309,105.8252427184466,29.727272727272727
176,JH Kallis,2427,83.0,2291,105.93627237014405,29.240963855421686
177,JJ Bumrah,25,2.0,27,92.5925925925926,12.5
178,JJ Roy,59,2.0,41,143.90243902439025,29.5
179,JJ van der Wath,18,2.0,17,105.88235294117648,9.0
180,JM Kemp,26,2.0,25,104.0,13.0
181,JO Holder,38,5.0,32,118.75,7.6
182,JP Duminy,1993,47.0,1634,121.97062423500613,42.40425531914894
183,JP Faulkner,527,26.0,406,129.80295566502463,20.26923076923077
184,JR Hopes,417,16.0,314,132.80254777070064,26.0625
185,Jaskaran Singh,8,1.0,11,72.72727272727273,8.0
186,Joginder Sharma,36,4.0,30,120.0,9.0
187,K Goel,218,13.0,239,91.21338912133892,16.76923076923077
188,K Rabada,55,3.0,68,80.88235294117648,18.333333333333332
189,K Upadhyay,12,0.0,9,133.33333333333331,12.0
190,KA Pollard,2354,81.0,1674,140.62126642771804,29.061728395061728
191,KAJ Roach,10,1.0,9,111.11111111111111,10.0
192,KB Arun Karthik,51,5.0,53,96.22641509433963,10.2
193,KC Cariappa,15,3.0,18,83.33333333333334,5.0
194,KC Sangakkara,1687,65.0,1424,118.4691011235955,25.953846153846154
195,KD Karthik,2903,112.0,2360,123.00847457627117,25.919642857142858
196,KH Pandya,480,12.0,313,153.3546325878594,40.0
197,KJ Abbott,13,1.0,8,162.5,13.0
198,KK Cooper,116,9.0,70,165.71428571428572,12.88888888888889
199,KK Nair,1158,44.0,929,124.65016146393972,26.318181818181817
200,KL Rahul,725,24.0,592,122.46621621621621,30.208333333333332
201,KM Jadhav,893,35.0,684,130.55555555555557,25.514285714285716
202,KMDN Kulasekara,5,0.0,3,166.66666666666669,5.0
203,KP Appanna,2,1.0,4,50.0,2.0
204,KP Pietersen,1001,27.0,758,132.05804749340368,37.074074074074076
205,KS Williamson,411,12.0,325,126.46153846153847,34.25
206,KV Sharma,317,20.0,285,111.22807017543859,15.85
207,KW Richardson,36,3.0,39,92.3076923076923,12.0
208,Kamran Akmal,128,4.0,78,164.1025641025641,32.0
209,Kamran Khan,3,1.0,5,60.0,3.0
210,Karanveer Singh,12,1.0,17,70.58823529411765,12.0
211,Kuldeep Yadav,20,2.0,22,90.9090909090909,10.0
212,L Ablish,0,0.0,2,0.0,0.0
213,L Balaji,36,7.0,50,72.0,5.142857142857143
214,L Ronchi,34,3.0,37,91.8918918918919,11.333333333333334
215,LA Carseldine,81,3.0,71,114.08450704225352,27.0
216,LA Pomersbach,302,10.0,251,120.3187250996016,30.2
217,LH Ferguson,1,0.0,1,100.0,1.0
218,LJ Wright,106,4.0,63,168.25396825396825,26.5
219,LMP Simmons,1079,26.0,878,122.89293849658314,41.5
220,LPC Silva,40,2.0,27,148.14814814814815,20.0
221,LR Shukla,405,27.0,358,113.12849162011173,15.0
222,LRPL Taylor,1017,38.0,847,120.07083825265643,26.763157894736842
223,M Ashwin,0,1.0,1,0.0,0.0
224,M Kaif,259,16.0,258,100.3875968992248,16.1875
225,M Kartik,113,6.0,109,103.6697247706422,18.833333333333332
226,M Klinger,73,4.0,78,93.58974358974359,18.25
227,M Manhas,514,23.0,486,105.76131687242798,22.347826086956523
228,M Morkel,126,10.0,93,135.48387096774192,12.6
229,M Muralitharan,20,6.0,30,66.66666666666666,3.3333333333333335
230,M Ntini,11,1.0,19,57.89473684210527,11.0
231,M Rawat,55,5.0,70,78.57142857142857,11.0
232,M Vijay,2511,87.0,2092,120.02868068833652,28.862068965517242
